kanji,meaning
革,piel
革,reforma
革,cambio
学,estudio
学,aprendizaje
学,ciencia
学,estudiar
岳,"montaña alta"
岳,pico
楽,música
楽,divertido
楽,fácil
楽,agradable
楽,disfrutar
楽,divertirse
額,frente
額,"cantidad de dinero"
額,"marco de un cuadro"
掛,colgar
掛,suspender
掛,enganchar
掛,depender
笠,"sombrero de bambú"
笠,"objeto con esa forma"
樫,"roble de hoja perenne"
潟,laguna
割,dividir
割,distribuir
割,proporción
割,separar
割,fracturar
喝,regañar
喝,ronco
括,sujetar
括,amarrar
括,abrochar
括,atar
活,vida
活,energía
活,actividad
渇,seco
渇,reseco
渇,sed
渇,secar
渇,resecar
渇,"tener sed"
滑,deslizar
滑,resbalar
滑,deslizarse
滑,resbalarse
滑,suavidad
褐,marrón
轄,control
轄,dirección
且,además
且,también
且,"al mismo tiempo"
叶,concesión
叶,reconocimiento
叶,respuesta
樺,abedul
鞄,bolso
鞄,maleta
鞄,maletín
株,tocón
株,raíz
株,"acciones de bolsa"
蒲,espadaña
蒲,anea
釜,caldero
釜,cacerola
釜,olla
鎌,hoz
鎌,guadaña
鴨,"pato salvaje"
茅,"gramíneas (junco"
茅,heno
茅,etc.)
刈,segar
刈,podar
刈,cosechar
瓦,teja
乾,seco
乾,secar
乾,secarse
乾,desecarse
侃,fuerte
侃,justo
侃,honrado
侃,tranquilo
冠,corona
冠,"sin par"
冠,"sin igual"
寒,frío
寒,desolado
刊,publicar
刊,editar
勘,intuición
勘,percepción
勧,persuasión
勧,recomendación
勧,consejo
勧,persuadir
勧,recomendar
勧,aconsejar
巻,enrollar
巻,rollo
巻,volumen
巻,tomo
巻,liar
喚,gritar
喚,llamar
喚,grito
喚,alarido
堪,resistir
堪,aguantar
堪,soportar
堪,tolerar
完,perfección
完,conclusión
完,final
官,gobierno
官,"gubernamental (lugar"
官,persona)
官,"órgano del cuerpo"
寛,tolerancia
寛,generosidad
寛,tranquilidad
寛,"estar a gusto"
干,secarse
干,secar
干,relacionar
干,airear
幹,"tronco del árbol"
幹,"punto importante"
幹,base
患,aflicción
患,ansiedad
患,enfermedad
患,"sufrir de"
患,"estar enfermo"
感,sentimiento
感,sensación
感,sentir
慣,costumbre
慣,acostumbrarse
慣,acostumbrar
憾,remordimiento
憾,arrepentimiento
換,cambio
換,intercambio
換,intercambiar
換,sustituir
換,reemplazar
換,"ser intercambiado"
換,"ser convertido"
敢,osado
敢,atrevido
柑,mandarina
柑,cítrico
棺,ataúd
棺,féretro
款,"artículo (contrato"
款,ley)
款,sección
款,sinceridad
款,"buena voluntad"
歓,alegría
歓,felicidad
歓,deleite
歓,diversión
汗,sudor
汗,transpiración
漢,"antigua región de China"
漢,China
漢,hombre
環,círculo
環,anillo
環,eslabón
環,giro
甘,dulce
甘,sabroso
甘,bueno
甘,"tener cariño a"
甘,mimar
甘,consentir
監,supervisar
監,controlar
監,gobernar
監,administrar
看,ver
看,vigilar
看,cuidar
看,asistir
竿,palo
竿,barra
竿,vara
竿,caña
管,tubería
管,tubo
管,caño
管,control
管,controlar
管,administrar
簡,simple
簡,breve
簡,aproximado
簡,carta
緩,fácil
緩,despacio
緩,disminución
緩,mitigado
緩,aliviado
緩,aflojar(se)
緩,relajar(se)
緩,disminuir
緩,indulgente
缶,"lata de hojalata"
缶,envase
缶,hervidor
肝,"punto vital"
肝,hígado
肝,ánimo
艦,"buque de guerra"
莞,"junco usado para cubrir el tatami"
観,"punto de vista"
観,"mirar cuidadosamente"
観,mostrar
貫,perforar
貫,penetrar
貫,desempeñar
貫,cumplir
還,volver
還,regresar
還,devolver
鑑,ejemplo
鑑,modelo
鑑,sello
鑑,discernir
間,intervalo
間,espacio
間,habitación
閑,ocio
閑,"tiempo libre"
関,barrera
関,puerta
関,relación
関,mecanismo
関,valla
陥,hundirse
陥,derrumbarse
陥,caer
陥,resbalarse
陥,deslizarse
韓,"antigua región de China"
韓,Corea
館,edificio
館,mansión
丸,redondo
丸,circular
丸,círculo
丸,redondear
含,incluir
含,"tener en mente"
含,entender
含,comprender
含,"tener en la boca"
含,contener
岸,playa
岸,costa
岸,orilla
巌,peñasco
巌,"roca grande"
巌,roca
玩,jugar
玩,juguete
玩,"tratar cuidadosamente"
癌,cáncer
眼,ojo
眼,vista
眼,perspicacia
眼,"punto principal"
岩,roca
雁,"ganso salvaje"
雁,"oca salvaje"
頑,terco
頑,testarudo
頑,firmemente
顔,cara
顔,faz
顔,semblante
顔,rostro
顔,expresión
願,petición
願,deseo
願,anhelo
願,desear
願,pedir
願,rogar
企,esquema
企,diseño
企,plan
企,emprender
企,idear
企,diseñar
企,planificar
伎,habilidad
伎,técnica
危,peligroso
危,dudoso
喜,alegría
喜,júbilo
喜,divertirse
器,utensilio
器,vasija
器,receptáculo
器,envase
器,caldera
基,fundamento
基,origen
基,base
奇,extraño
奇,raro
奇,sospechoso
嬉,contento
嬉,satisfecho
嬉,regocijarse
寄,colaborar
寄,"apoyarse en"
寄,acercarse
寄,reunirse
寄,arrimar
寄,juntar
岐,bifurcación
岐,división
岐,dividir
岐,partir
希,raro
希,poco
希,deseo
希,esperanza
希,Grecia
幾,cuántos
幾,algunos
忌,aborrecer
忌,detestar
忌,luto
揮,manejar
揮,ejercer
揮,exhibir
揮,exponer
机,mesa
机,escritorio
旗,"bandera nacional"
旗,estandarte
旗,bandera
既,anterior
既,previo
既,pasado
既,ya
既,antes
期,período
期,plazo
期,intención
期,propósito
棋,"pieza de ajedrez"
棋,"ajedrez japonés"
棋,shogi
棄,tirar
棄,descartar
棄,abandonar
棄,arrojar
棄,desechar
機,mecanismo
機,máquina
機,avión
機,ocasión
機,telar
帰,regreso
帰,vuelta
帰,retorno
帰,regresar
帰,volver
毅,resuelto
毅,determinado
毅,firme
気,espíritu
気,mente
汽,vapor
畿,capital
畿,"alrededores de la capital"
畿,"antigua capital china"
祈,rezo
祈,oración
祈,plegaria
祈,rezar
祈,orar
祈,invocar
季,"estación del año"
稀,raro
稀,fenómenal
稀,"diluido (ácido)"
紀,crónica
紀,normas
紀,era
規,compás
規,regla
規,medida
規,norma
記,crónica
記,narración
記,memorizar
記,anotar
記,"consignar por escrito"
貴,precioso
貴,valioso
貴,valorar
貴,apreciar
貴,estimar
起,despertar
起,levantarse
起,comenzar
起,comienzo
起,"despertar a alguien"
軌,surco
軌,vía
軌,modelo
軌,ejemplo
輝,resplandor
輝,destello
輝,centelleo
輝,resplandecer
輝,destellar
輝,centellear
飢,hambre
飢,"tener hambre"
騎,jinete
騎,"montar a caballo"
騎,"contador para jinetes"
鬼,fantasma
鬼,demonio
鬼,ogro
亀,tortuga
偽,falsedad
偽,mentira
偽,engañar
偽,fingir
偽,mentir
偽,engaño
儀,regla
儀,norma
儀,etiqueta
儀,ceremonia
儀,"modelo de astros"
宜,apropiado
宜,adecuado
宜,conveniente
宜,correcto
戯,jugueteo
戯,broma
戯,diversión
戯,teatro
戯,función
戯,juguetear
戯,bromear
戯,flirtear
技,habilidad
技,arte
技,técnica
擬,imitar
擬,comparar
擬,parecerse
擬,suponer
欺,callarse
欺,mentir
欺,engaño
欺,trampa
欺,engañar
欺,estafar
犠,sacrificio
犠,"chivo expiatorio"
犠,víctima
疑,duda
疑,desconfianza
疑,sospecha
疑,dudar
疑,desconfiar
疑,sospechar
義,moralidad
義,lealtad
義,significado
義,artificial
義,"no consanguíneo"
蟻,hormiga
誼,amistad
誼,intimidad
議,opinión
議,consulta
議,consideración
菊,crisantemo
鞠,bola
吉,"buena suerte"
吉,alegría
吉,felicitaciones
喫,consumir
喫,comer
喫,beber
橘,mandarina
橘,cítricos
詰,"pedir informes"
詰,empaquetar
詰,rellenar
詰,reprobar
詰,reprender
詰,"trabajar duro"
杵,"mortero para almirez"
却,retirarse
却,"echarse atrás"
却,rechazar
客,huésped
客,visitante
客,cliente
脚,pie
脚,pata
脚,posición
脚,"contador de patas"
虐,tiranizar
虐,oprimir
逆,reverso
逆,inverso
逆,opuesto
逆,"ir en contra"
逆,oponerse
逆,desobedecer
丘,colina
久,"mucho tiempo"
久,"largo tiempo"
久,largo
久,"continuado por mucho tiempo"
仇,enemigo
仇,venganza
仇,rencor
休,descanso
休,descansar
休,"tomarse un descanso"
休,"estar descansado"
休,"dar descanso"
及,alcanzar
及,"llegar a"
及,y
及,tocar
及,extenderse
及,causar
吸,aspirar
吸,absorber
吸,chupar
吸,fumar
宮,príncipe
宮,"familia imperial"
宮,santuario
弓,arco
急,prisa
急,urgencia
急,apresurarse
急,"darse prisa"
救,socorro
救,ayuda
救,rescate
救,rescatar
救,salvar
救,ayudar
朽,descomposición
朽,putrefacción
